灣灣,#genre#
靖天戲劇台,https://gat.zhoujie218.top/litv/4gtv-4gtv058
古典音樂台,https://gat.zhoujie218.top/litv/4gtv-4gtv059
靖天電影台,https://gat.zhoujie218.top/litv/4gtv-4gtv061
靖天育樂台,https://gat.zhoujie218.top/litv/4gtv-4gtv062
靖天國際台,https://gat.zhoujie218.top/litv/4gtv-4gtv063
中視菁采,https://gat.zhoujie218.top/litv/4gtv-4gtv064
靖天資訊台,https://gat.zhoujie218.top/litv/4gtv-4gtv065
台視,https://gat.zhoujie218.top/litv/4gtv-4gtv066
TVBS精采台,https://gat.zhoujie218.top/litv/4gtv-4gtv067
TVBS歡樂台,https://gat.zhoujie218.top/litv/4gtv-4gtv068
愛爾達娛樂,https://gat.zhoujie218.top/litv/4gtv-4gtv070
TVBS新聞台,https://gat.zhoujie218.top/litv/4gtv-4gtv072
TVBS,https://gat.zhoujie218.top/litv/4gtv-4gtv073
中視新聞,https://gat.zhoujie218.top/litv/4gtv-4gtv074
鏡新聞,https://gat.zhoujie218.top/litv/4gtv-4gtv075
CATCHPLAY電影台,https://gat.zhoujie218.top/litv/4gtv-4gtv076
TRACE SPORTS STARS,https://gat.zhoujie218.top/litv/4gtv-4gtv077
阿里郎,https://gat.zhoujie218.top/litv/4gtv-4gtv079
中視經典,https://gat.zhoujie218.top/litv/4gtv-4gtv080
TRACE URBAN,https://gat.zhoujie218.top/litv/4gtv-4gtv082
MEZZO LIVE,https://gat.zhoujie218.top/litv/4gtv-4gtv083
國會頻道1,https://gat.zhoujie218.top/litv/4gtv-4gtv084
國會頻道2,https://gat.zhoujie218.top/litv/4gtv-4gtv085
智林體育台,https://gat.zhoujie218.top/litv/4gtv-4gtv101
國際財經,https://gat.zhoujie218.top/litv/4gtv-4gtv104
第1商業台,https://gat.zhoujie218.top/litv/4gtv-4gtv109
東森新聞,https://gat.zhoujie218.top/litv/4gtv-4gtv152
東森財經新聞,https://gat.zhoujie218.top/litv/4gtv-4gtv153
民視,https://gat.zhoujie218.top/litv/4gtv-4gtv155
民視台灣台,https://gat.zhoujie218.top/litv/4gtv-4gtv156
美國之音,https://gat.zhoujie218.top/litv/litv-ftv03
民視旅遊,https://gat.zhoujie218.top/litv/litv-ftv07
民視影劇,https://gat.zhoujie218.top/litv/litv-ftv09
半島新聞,https://gat.zhoujie218.top/litv/litv-ftv10
民視新聞台,https://gat.zhoujie218.top/litv/litv-ftv13
愛放動漫,https://gat.zhoujie218.top/litv/litv-ftv15
好消息,https://gat.zhoujie218.top/litv/litv-ftv16
好消息2台,https://gat.zhoujie218.top/litv/litv-ftv17
龍華卡通,https://gat.zhoujie218.top/litv/litv-longturn01
龍華電影,https://gat.zhoujie218.top/litv/litv-longturn03
博斯魅力,https://gat.zhoujie218.top/litv/litv-longturn04
博斯高球1,https://gat.zhoujie218.top/litv/litv-longturn05
博斯高球2,https://gat.zhoujie218.top/litv/litv-longturn06
博斯運動1,https://gat.zhoujie218.top/litv/litv-longturn07
博斯運動2,https://gat.zhoujie218.top/litv/litv-longturn08
博斯網球,https://gat.zhoujie218.top/litv/litv-longturn09
博斯無限,https://gat.zhoujie218.top/litv/litv-longturn10
龍華日韓,https://gat.zhoujie218.top/litv/litv-longturn11
龍華偶像,https://gat.zhoujie218.top/litv/litv-longturn12
博斯無限2,https://gat.zhoujie218.top/litv/litv-longturn13
寰宇新聞台,https://gat.zhoujie218.top/litv/litv-longturn14
寰宇新聞台灣台,https://gat.zhoujie218.top/litv/litv-longturn15
亞洲旅遊台,https://gat.zhoujie218.top/litv/litv-longturn17
龍華戲劇,https://gat.zhoujie218.top/litv/litv-longturn18
Smart知識台,https://gat.zhoujie218.top/litv/litv-longturn19
生活英語台,https://gat.zhoujie218.top/litv/litv-longturn20
龍華經典,https://gat.zhoujie218.top/litv/litv-longturn21
台灣戲劇台,https://gat.zhoujie218.top/litv/litv-longturn22
寰宇財經台,https://gat.zhoujie218.top/litv/litv-longturn23
